x,y,action_density
9.595959595959595134e+00,0.000000000000000000e+00,2.328885065804598038e-03
9.696969696969697239e+00,0.000000000000000000e+00,1.750441123251854185e-03
9.797979797979797567e+00,0.000000000000000000e+00,1.318207455387764883e-03
9.898989898989899672e+00,0.000000000000000000e+00,9.954096827763333523e-04
1.000000000000000000e+01,0.000000000000000000e+00,7.540433291573526639e-04
0.000000000000000000e+00,1.010101010101010083e-01,9.954096827763359544e-04
1.010101010101010083e-01,1.010101010101010083e-01,1.328694641483330052e-03
2.020202020202020166e-01,1.010101010101010083e-01,1.780404870798415334e-03
3.030303030303030387e-01,1.010101010101010083e-01,2.393037353780227972e-03
4.040404040404040331e-01,1.010101010101010083e-01,3.222754393846011343e-03
5.050505050505050830e-01,1.010101010101010083e-01,4.342509095211122445e-03
6.060606060606060774e-01,1.010101010101010083e-01,5.845235368642853063e-03
7.070707070707070718e-01,1.010101010101010083e-01,7.846773229340239103e-03
8.080808080808080662e-01,1.010101010101010083e-01,1.048807082219558283e-02
9.090909090909090606e-01,1.010101010101010083e-01,1.393608193865328998e-02
1.010101010101010166e+00,1.010101010101010083e-01,1.838268585392490925e-02
1.111111111111111160e+00,1.010101010101010083e-01,2.404092455021986097e-02
1.212121212121212155e+00,1.010101010101010083e-01,3.113791195571302683e-02
1.313131313131313149e+00,1.010101010101010083e-01,3.990394796624650159e-02
1.414141414141414144e+00,1.010101010101010083e-01,5.055768295889689207e-02
1.515151515151515138e+00,1.010101010101010083e-01,6.328762397990596311e-02
1.616161616161616132e+00,1.010101010101010083e-01,7.823082476098791593e-02
1.717171717171717127e+00,1.010101010101010083e-01,9.545020329013194360e-02
1.818181818181818121e+00,1.010101010101010083e-01,1.149125019111266743e-01
1.919191919191919116e+00,1.010101010101010083e-01,1.364693468343071148e-01
2.020202020202020332e+00,1.010101010101010083e-01,1.598440734456718360e-01
2.121212121212121104e+00,1.010101010101010083e-01,1.846268724601567990e-01
2.222222222222222321e+00,1.010101010101010083e-01,2.102803262506181547e-01
2.323232323232323093e+00,1.010101010101010083e-01,2.361565437657056621e-01
2.424242424242424310e+00,1.010101010101010083e-01,2.615259289694511491e-01
2.525252525252525082e+00,1.010101010101010083e-01,2.856162578097249383e-01
2.626262626262626299e+00,1.010101010101010083e-01,3.076593692010000103e-01
2.727272727272727071e+00,1.010101010101010083e-01,3.269415991476796735e-01
2.828282828282828287e+00,1.010101010101010083e-01,3.428532992575966665e-01
2.929292929292929060e+00,1.010101010101010083e-01,3.549325335073195697e-01
3.030303030303030276e+00,1.010101010101010083e-01,3.629993764047167448e-01
3.131313131313131048e+00,1.010101010101010083e-01,3.685542810814773640e-01
3.232323232323232265e+00,1.010101010101010083e-01,3.721851887644016532e-01
3.333333333333333481e+00,1.010101010101010083e-01,3.740232144044464691e-01
3.434343434343434254e+00,1.010101010101010083e-01,3.742777291775587489e-01
3.535353535353535470e+00,1.010101010101010083e-01,3.732168517324032653e-01
3.636363636363636243e+00,1.010101010101010083e-01,3.711442715189043340e-01
3.737373737373737459e+00,1.010101010101010083e-01,3.683748471966883375e-01
3.838383838383838231e+00,1.010101010101010083e-01,3.652114187514379218e-01
3.939393939393939448e+00,1.010101010101010083e-01,3.619249753697049710e-01
4.040404040404040664e+00,1.010101010101010083e-01,3.587397939813761205e-01
4.141414141414140992e+00,1.010101010101010083e-01,3.558244952340784417e-01
4.242424242424242209e+00,1.010101010101010083e-01,3.532892546283190605e-01
4.343434343434343425e+00,1.010101010101010083e-01,3.511887499110923350e-01
4.444444444444444642e+00,1.010101010101010083e-01,3.495298940821542910e-01
4.545454545454544970e+00,1.010101010101010083e-01,3.482830398898905111e-01
4.646464646464646187e+00,1.010101010101010083e-01,3.473951590406055834e-01
4.747474747474747403e+00,1.010101010101010083e-01,3.468034835110042069e-01
4.848484848484848619e+00,1.010101010101010083e-01,3.464482152331793685e-01
4.949494949494949836e+00,1.010101010101010083e-01,3.462831240584722803e-01
5.050505050505050164e+00,1.010101010101010083e-01,3.462831240584722803e-01
5.151515151515151381e+00,1.010101010101010083e-01,3.464482152331793685e-01
5.252525252525252597e+00,1.010101010101010083e-01,3.468034835110042069e-01
5.353535353535353813e+00,1.010101010101010083e-01,3.473951590406055834e-01
5.454545454545454142e+00,1.010101010101010083e-01,3.482830398898905111e-01
5.555555555555555358e+00,1.010101010101010083e-01,3.495298940821542910e-01
5.656565656565656575e+00,1.010101010101010083e-01,3.511887499110923350e-01
5.757575757575757791e+00,1.010101010101010083e-01,3.532892546283190605e-01
5.858585858585858119e+00,1.010101010101010083e-01,3.558244952340784417e-01
5.959595959595959336e+00,1.010101010101010083e-01,3.587397939813761205e-01
6.060606060606060552e+00,1.010101010101010083e-01,3.619249753697049155e-01
6.161616161616161769e+00,1.010101010101010083e-01,3.652114187514379218e-01
6.262626262626262097e+00,1.010101010101010083e-01,3.683748471966883375e-01
6.363636363636363313e+00,1.010101010101010083e-01,3.711442715189043340e-01
6.464646464646464530e+00,1.010101010101010083e-01,3.732168517324032098e-01
6.565656565656565746e+00,1.010101010101010083e-01,3.742777291775587489e-01
6.666666666666666963e+00,1.010101010101010083e-01,3.740232144044464691e-01
6.767676767676767291e+00,1.010101010101010083e-01,3.721851887644016532e-01
6.868686868686868507e+00,1.010101010101010083e-01,3.685542810814774750e-01
6.969696969696969724e+00,1.010101010101010083e-01,3.629993764047168003e-01
